sample_id,scene_id,split,source_path,relative_path
0000000,LC08_045030_20190814,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000000\LC08_045030_20190814\all_bands.tif,0000000\LC08_045030_20190814\all_bands.tif
0000002,LC08_020033_20190714,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000002\LC08_020033_20190714\all_bands.tif,0000002\LC08_020033_20190714\all_bands.tif
0000003,LC08_014033_20190720,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000003\LC08_014033_20190720\all_bands.tif,0000003\LC08_014033_20190720\all_bands.tif
0000004,LC08_015032_20190812,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000004\LC08_015032_20190812\all_bands.tif,0000004\LC08_015032_20190812\all_bands.tif
0000006,LC08_027027_20190731,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000006\LC08_027027_20190731\all_bands.tif,0000006\LC08_027027_20190731\all_bands.tif
0000007,LC08_039028_20190804,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000007\LC08_039028_20190804\all_bands.tif,0000007\LC08_039028_20190804\all_bands.tif
0000008,LC08_015029_20190727,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000008\LC08_015029_20190727\all_bands.tif,0000008\LC08_015029_20190727\all_bands.tif
0000010,LC08_041028_20190818,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000010\LC08_041028_20190818\all_bands.tif,0000010\LC08_041028_20190818\all_bands.tif
0000011,LC08_032038_20190718,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000011\LC08_032038_20190718\all_bands.tif,0000011\LC08_032038_20190718\all_bands.tif
0000012,LC08_046029_20190720,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000012\LC08_046029_20190720\all_bands.tif,0000012\LC08_046029_20190720\all_bands.tif
0000017,LC08_022036_20190829,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000017\LC08_022036_20190829\all_bands.tif,0000017\LC08_022036_20190829\all_bands.tif
0000020,LC08_024027_20190827,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000020\LC08_024027_20190827\all_bands.tif,0000020\LC08_024027_20190827\all_bands.tif
0000021,LC08_040036_20190827,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000021\LC08_040036_20190827\all_bands.tif,0000021\LC08_040036_20190827\all_bands.tif
0000023,LC08_016035_20190819,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000023\LC08_016035_20190819\all_bands.tif,0000023\LC08_016035_20190819\all_bands.tif
0000024,LC08_016036_20190702,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000024\LC08_016036_20190702\all_bands.tif,0000024\LC08_016036_20190702\all_bands.tif
0000025,LC08_027036_20190816,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000025\LC08_027036_20190816\all_bands.tif,0000025\LC08_027036_20190816\all_bands.tif
